phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00049988,2.369813,,18.832
val_epoch,1,0.00049988,2.125356,0.169433,6.490
train_epoch,2,0.00049951,2.018670,,18.194
val_epoch,2,0.00049951,1.951200,0.252427,6.605
train_epoch,3,0.00049889,1.959788,,18.699
val_epoch,3,0.00049889,1.892552,0.295020,6.849
train_epoch,4,0.00049803,1.817288,,19.544
val_epoch,4,0.00049803,1.727767,0.379580,6.204
train_epoch,5,0.00049693,1.659208,,18.908
val_epoch,5,0.00049693,1.659360,0.442531,6.470
train_epoch,6,0.00049558,1.530251,,18.712
val_epoch,6,0.00049558,1.514953,0.513624,6.875
train_epoch,7,0.00049399,1.446265,,18.084
val_epoch,7,0.00049399,1.443254,0.547134,6.875
train_epoch,8,0.00049216,1.367473,,17.724
val_epoch,8,0.00049216,1.351585,0.582837,6.798
train_epoch,9,0.00049009,1.297666,,17.603
val_epoch,9,0.00049009,1.325485,0.592546,6.718
train_epoch,10,0.00048779,1.252143,,18.604
val_epoch,10,0.00048779,1.294031,0.600063,6.574
train_epoch,11,0.00048525,1.221794,,18.808
val_epoch,11,0.00048525,1.268328,0.610085,6.753
train_epoch,12,0.00048248,1.180530,,17.723
val_epoch,12,0.00048248,1.288595,0.604447,6.200
train_epoch,13,0.00047948,1.195290,,18.335
val_epoch,13,0.00047948,1.266812,0.610085,7.063
train_epoch,14,0.00047625,1.145004,,18.777
val_epoch,14,0.00047625,1.267862,0.616035,6.782
train_epoch,15,0.00047281,1.131096,,19.003
val_epoch,15,0.00047281,1.237187,0.626057,6.296
train_epoch,16,0.00046914,1.110183,,18.040
val_epoch,16,0.00046914,1.234113,0.632321,6.822
train_epoch,17,0.00046526,1.113576,,17.677
val_epoch,17,0.00046526,1.196924,0.630755,6.671
train_epoch,18,0.00046116,1.071563,,18.332
val_epoch,18,0.00046116,1.191113,0.648293,6.972
train_epoch,19,0.00045686,1.067852,,18.070
val_epoch,19,0.00045686,1.219629,0.638584,7.089
train_epoch,20,0.00045235,1.055323,,18.007
val_epoch,20,0.00045235,1.196813,0.638584,6.584
train_epoch,21,0.00044764,1.032096,,17.283
val_epoch,21,0.00044764,1.210640,0.636079,6.736
train_epoch,22,0.00044274,1.028737,,17.805
val_epoch,22,0.00044274,1.208714,0.636079,6.758
train_epoch,23,0.00043765,0.997356,,18.375
val_epoch,23,0.00043765,1.209975,0.641090,6.797
train_epoch,24,0.00043238,1.016550,,18.217
val_epoch,24,0.00043238,1.185483,0.648293,6.706
train_epoch,25,0.00042692,0.988838,,17.683
val_epoch,25,0.00042692,1.175609,0.658941,6.120
train_epoch,26,0.00042129,0.965064,,18.068
val_epoch,26,0.00042129,1.171666,0.665832,6.323
train_epoch,27,0.00041550,0.945556,,18.651
val_epoch,27,0.00041550,1.161272,0.660821,6.473
train_epoch,28,0.00040954,0.927953,,17.903
val_epoch,28,0.00040954,1.183979,0.664892,6.871
train_epoch,29,0.00040342,0.914480,,18.333
val_epoch,29,0.00040342,1.149759,0.672095,6.872
train_epoch,30,0.00039715,0.889356,,17.663
val_epoch,30,0.00039715,1.179905,0.654557,6.630
train_epoch,31,0.00039074,0.880738,,18.675
val_epoch,31,0.00039074,1.148651,0.668024,6.897
