phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.785031,,11.784
val_epoch,1,0.00299926,1.424279,0.537739,6.243
train_epoch,2,0.00299704,1.373985,,11.255
val_epoch,2,0.00299704,1.346544,0.563107,6.377
train_epoch,3,0.00299335,1.311616,,11.018
val_epoch,3,0.00299335,1.319594,0.573755,6.493
train_epoch,4,0.00298818,1.274348,,11.867
val_epoch,4,0.00298818,1.285563,0.597870,6.594
train_epoch,5,0.00298154,1.253096,,11.364
val_epoch,5,0.00298154,1.268112,0.615096,6.667
train_epoch,6,0.00297344,1.224798,,11.567
val_epoch,6,0.00297344,1.291389,0.601002,6.554
train_epoch,7,0.00296389,1.208619,,11.388
val_epoch,7,0.00296389,1.243340,0.621046,6.320
train_epoch,8,0.00295289,1.210530,,10.790
val_epoch,8,0.00295289,1.252909,0.601629,6.241
train_epoch,9,0.00294046,1.196935,,10.989
val_epoch,9,0.00294046,1.244733,0.614156,6.188
train_epoch,10,0.00292661,1.175478,,11.312
val_epoch,10,0.00292661,1.268201,0.603508,6.264
train_epoch,11,0.00291135,1.192334,,11.269
val_epoch,11,0.00291135,1.233831,0.628562,6.968
train_epoch,12,0.00289470,1.164148,,11.000
val_epoch,12,0.00289470,1.216161,0.634200,6.325
train_epoch,13,0.00287667,1.150030,,11.688
val_epoch,13,0.00287667,1.201484,0.639524,6.213
train_epoch,14,0.00285729,1.153597,,11.057
val_epoch,14,0.00285729,1.198308,0.642029,6.871
train_epoch,15,0.00283656,1.149143,,11.432
val_epoch,15,0.00283656,1.210738,0.633260,6.767
train_epoch,16,0.00281452,1.147120,,12.013
val_epoch,16,0.00281452,1.203230,0.649233,6.535
train_epoch,17,0.00279118,1.135085,,11.151
val_epoch,17,0.00279118,1.196720,0.641716,6.824
train_epoch,18,0.00276657,1.136084,,11.058
val_epoch,18,0.00276657,1.191959,0.636079,6.723
train_epoch,19,0.00274071,1.129795,,10.834
val_epoch,19,0.00274071,1.186634,0.649859,6.211
train_epoch,20,0.00271362,1.122843,,11.066
val_epoch,20,0.00271362,1.199294,0.637645,6.583
train_epoch,21,0.00268534,1.117916,,10.942
val_epoch,21,0.00268534,1.231368,0.618227,6.262
train_epoch,22,0.00265588,1.122781,,11.086
val_epoch,22,0.00265588,1.195189,0.642343,6.331
train_epoch,23,0.00262529,1.112122,,10.619
val_epoch,23,0.00262529,1.190541,0.645161,6.545
train_epoch,24,0.00259359,1.121337,,11.713
val_epoch,24,0.00259359,1.184833,0.651112,6.825
train_epoch,25,0.00256081,1.117079,,11.072
val_epoch,25,0.00256081,1.177072,0.644848,6.230
train_epoch,26,0.00252698,1.107317,,10.724
val_epoch,26,0.00252698,1.189029,0.642656,6.321
train_epoch,27,0.00249214,1.100877,,11.373
val_epoch,27,0.00249214,1.181259,0.647980,6.558
train_epoch,28,0.00245632,1.101860,,11.319
val_epoch,28,0.00245632,1.179667,0.644535,6.876
train_epoch,29,0.00241955,1.099733,,10.834
val_epoch,29,0.00241955,1.183318,0.640777,6.147
train_epoch,30,0.00238188,1.090097,,10.774
val_epoch,30,0.00238188,1.177473,0.646414,6.137
train_epoch,31,0.00234334,1.108331,,10.862
val_epoch,31,0.00234334,1.182135,0.642969,6.188
train_epoch,32,0.00230397,1.095054,,11.087
val_epoch,32,0.00230397,1.176100,0.647667,6.308
train_epoch,33,0.00226381,1.083311,,11.377
val_epoch,33,0.00226381,1.200387,0.632321,6.790
train_epoch,34,0.00222289,1.085422,,11.032
val_epoch,34,0.00222289,1.167364,0.652678,6.311
