phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,2.221058,,21.379
val_epoch,1,0.00299926,2.140242,0.202631,7.005
train_epoch,2,0.00299704,2.117848,,11.577
val_epoch,2,0.00299704,2.104422,0.222361,6.164
train_epoch,3,0.00299335,2.092221,,10.935
val_epoch,3,0.00299335,2.084692,0.212026,6.019
train_epoch,4,0.00298818,2.063184,,11.174
val_epoch,4,0.00298818,2.077055,0.259630,6.232
train_epoch,5,0.00298154,2.058852,,12.627
val_epoch,5,0.00298154,2.045570,0.262762,6.129
train_epoch,6,0.00297344,2.039188,,11.006
val_epoch,6,0.00297344,2.068556,0.239273,5.762
train_epoch,7,0.00296389,2.040290,,11.341
val_epoch,7,0.00296389,2.051992,0.263075,5.998
train_epoch,8,0.00295289,2.033769,,10.771
val_epoch,8,0.00295289,2.054712,0.240526,6.453
train_epoch,9,0.00294046,2.026147,,11.130
val_epoch,9,0.00294046,2.040218,0.257751,6.229
train_epoch,10,0.00292661,2.017490,,10.711
val_epoch,10,0.00292661,2.053978,0.256185,6.698
train_epoch,11,0.00291135,2.019003,,11.035
val_epoch,11,0.00291135,2.043202,0.253054,6.162
train_epoch,12,0.00289470,2.014490,,10.929
val_epoch,12,0.00289470,2.034181,0.274037,5.971
train_epoch,13,0.00287667,2.010652,,11.795
val_epoch,13,0.00287667,2.013245,0.276229,7.281
train_epoch,14,0.00285729,2.008650,,10.793
val_epoch,14,0.00285729,2.014209,0.287504,6.055
train_epoch,15,0.00283656,2.010299,,12.127
val_epoch,15,0.00283656,2.020125,0.275603,6.085
train_epoch,16,0.00281452,2.012591,,11.063
val_epoch,16,0.00281452,2.025168,0.276542,6.064
train_epoch,17,0.00279118,2.000081,,11.021
val_epoch,17,0.00279118,2.016394,0.272158,6.160
train_epoch,18,0.00276657,2.000301,,11.351
val_epoch,18,0.00276657,2.011417,0.286564,6.463
train_epoch,19,0.00274071,1.994487,,10.983
val_epoch,19,0.00274071,1.999526,0.280614,6.202
train_epoch,20,0.00271362,1.992530,,10.730
val_epoch,20,0.00271362,2.025397,0.287504,6.647
train_epoch,21,0.00268534,1.996467,,11.023
val_epoch,21,0.00268534,2.002099,0.281867,6.087
train_epoch,22,0.00265588,1.985828,,11.684
val_epoch,22,0.00265588,1.998943,0.296273,7.146
train_epoch,23,0.00262529,1.993645,,11.058
val_epoch,23,0.00262529,1.989741,0.304416,6.642
train_epoch,24,0.00259359,1.986847,,11.316
val_epoch,24,0.00259359,2.000311,0.308801,6.657
train_epoch,25,0.00256081,1.984334,,11.287
val_epoch,25,0.00256081,1.988801,0.287191,6.667
train_epoch,26,0.00252698,1.990265,,11.072
val_epoch,26,0.00252698,2.029116,0.248356,6.273
train_epoch,27,0.00249214,1.986113,,11.102
val_epoch,27,0.00249214,2.002707,0.277169,6.256
train_epoch,28,0.00245632,1.982962,,11.318
val_epoch,28,0.00245632,2.012507,0.271531,6.737
train_epoch,29,0.00241955,1.980979,,11.153
val_epoch,29,0.00241955,1.993025,0.284059,6.015
train_epoch,30,0.00238188,1.977409,,11.192
val_epoch,30,0.00238188,1.996047,0.285938,6.285
train_epoch,31,0.00234334,1.976375,,11.215
val_epoch,31,0.00234334,1.990151,0.297526,6.257
train_epoch,32,0.00230397,1.984883,,11.090
val_epoch,32,0.00230397,1.992595,0.289383,6.708
train_epoch,33,0.00226381,1.974964,,11.336
val_epoch,33,0.00226381,1.995210,0.300971,6.386
train_epoch,34,0.00222289,1.972331,,10.953
val_epoch,34,0.00222289,1.987072,0.289070,6.047
train_epoch,35,0.00218126,1.977322,,11.445
val_epoch,35,0.00218126,1.992231,0.299405,6.709
train_epoch,36,0.00213896,1.968971,,11.278
val_epoch,36,0.00213896,1.983093,0.293768,6.128
train_epoch,37,0.00209602,1.967906,,11.278
val_epoch,37,0.00209602,1.996419,0.281240,6.347
train_epoch,38,0.00205250,1.968707,,11.077
val_epoch,38,0.00205250,1.986031,0.295020,6.678
train_epoch,39,0.00200844,1.969746,,11.285
val_epoch,39,0.00200844,1.993992,0.276229,6.212
train_epoch,40,0.00196387,1.965791,,11.006
val_epoch,40,0.00196387,1.982605,0.291262,6.602
train_epoch,41,0.00191885,1.964768,,11.403
val_epoch,41,0.00191885,1.980003,0.305982,6.431
train_epoch,42,0.00187341,1.969665,,11.054
val_epoch,42,0.00187341,1.990534,0.273411,6.698
train_epoch,43,0.00182761,1.967683,,11.034
val_epoch,43,0.00182761,1.978725,0.285938,6.737
train_epoch,44,0.00178148,1.967526,,11.226
val_epoch,44,0.00178148,1.987040,0.299405,6.261
