phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.664570,,12.747
val_epoch,1,0.00299926,1.395283,0.549013,7.601
train_epoch,2,0.00299704,1.311256,,12.084
val_epoch,2,0.00299704,1.302662,0.595052,7.694
train_epoch,3,0.00299335,1.247823,,11.993
val_epoch,3,0.00299335,1.283117,0.592233,7.429
train_epoch,4,0.00298818,1.216531,,11.331
val_epoch,4,0.00298818,1.254309,0.612590,6.889
train_epoch,5,0.00298154,1.198019,,10.744
val_epoch,5,0.00298154,1.244437,0.612590,6.137
train_epoch,6,0.00297344,1.182020,,10.531
val_epoch,6,0.00297344,1.230811,0.623552,6.065
train_epoch,7,0.00296389,1.175249,,10.756
val_epoch,7,0.00296389,1.219823,0.626683,6.221
train_epoch,8,0.00295289,1.168452,,10.399
val_epoch,8,0.00295289,1.214663,0.635766,6.929
train_epoch,9,0.00294046,1.164083,,9.949
val_epoch,9,0.00294046,1.209321,0.629502,6.148
train_epoch,10,0.00292661,1.158239,,10.545
val_epoch,10,0.00292661,1.212702,0.626997,6.093
train_epoch,11,0.00291135,1.153987,,10.712
val_epoch,11,0.00291135,1.202826,0.637018,6.656
train_epoch,12,0.00289470,1.146405,,10.885
val_epoch,12,0.00289470,1.197724,0.635139,6.697
train_epoch,13,0.00287667,1.146443,,10.701
val_epoch,13,0.00287667,1.192543,0.638584,6.221
train_epoch,14,0.00285729,1.145563,,10.498
val_epoch,14,0.00285729,1.191022,0.641716,6.241
train_epoch,15,0.00283656,1.136958,,10.971
val_epoch,15,0.00283656,1.196742,0.640464,6.194
train_epoch,16,0.00281452,1.140424,,10.944
val_epoch,16,0.00281452,1.189363,0.642656,6.187
train_epoch,17,0.00279118,1.131877,,10.356
val_epoch,17,0.00279118,1.190696,0.642343,6.703
train_epoch,18,0.00276657,1.135582,,11.086
val_epoch,18,0.00276657,1.186769,0.648606,6.856
train_epoch,19,0.00274071,1.129697,,10.531
val_epoch,19,0.00274071,1.181771,0.646727,6.225
train_epoch,20,0.00271362,1.130331,,10.553
val_epoch,20,0.00271362,1.179689,0.650172,6.163
train_epoch,21,0.00268534,1.128131,,10.257
val_epoch,21,0.00268534,1.174800,0.651425,6.296
train_epoch,22,0.00265588,1.121344,,10.656
val_epoch,22,0.00265588,1.173980,0.651738,6.745
train_epoch,23,0.00262529,1.120759,,10.641
val_epoch,23,0.00262529,1.183510,0.650485,6.741
train_epoch,24,0.00259359,1.120382,,10.508
val_epoch,24,0.00259359,1.173891,0.659255,6.664
train_epoch,25,0.00256081,1.117157,,10.700
val_epoch,25,0.00256081,1.171018,0.659255,6.838
train_epoch,26,0.00252698,1.119353,,10.778
val_epoch,26,0.00252698,1.172439,0.651112,6.797
train_epoch,27,0.00249214,1.117965,,10.694
val_epoch,27,0.00249214,1.170365,0.655810,6.246
train_epoch,28,0.00245632,1.115864,,10.396
val_epoch,28,0.00245632,1.166522,0.652365,6.206
train_epoch,29,0.00241955,1.112194,,10.681
val_epoch,29,0.00241955,1.171149,0.649546,6.142
train_epoch,30,0.00238188,1.114593,,10.447
val_epoch,30,0.00238188,1.178825,0.649859,6.469
train_epoch,31,0.00234334,1.112899,,10.695
val_epoch,31,0.00234334,1.167347,0.654870,6.858
train_epoch,32,0.00230397,1.111049,,10.883
val_epoch,32,0.00230397,1.165138,0.651425,6.739
train_epoch,33,0.00226381,1.106992,,10.723
val_epoch,33,0.00226381,1.163053,0.657376,6.187
train_epoch,34,0.00222289,1.107057,,10.837
val_epoch,34,0.00222289,1.167581,0.654870,6.200
train_epoch,35,0.00218126,1.104538,,10.612
val_epoch,35,0.00218126,1.159991,0.664892,6.270
train_epoch,36,0.00213896,1.103198,,10.628
val_epoch,36,0.00213896,1.161339,0.655183,6.289
train_epoch,37,0.00209602,1.104490,,10.950
val_epoch,37,0.00209602,1.162711,0.661760,6.333
train_epoch,38,0.00205250,1.103974,,10.532
val_epoch,38,0.00205250,1.160080,0.660507,6.464
train_epoch,39,0.00200844,1.102624,,10.920
val_epoch,39,0.00200844,1.171439,0.646101,6.280
train_epoch,40,0.00196387,1.100983,,10.298
val_epoch,40,0.00196387,1.161265,0.658941,6.227
train_epoch,41,0.00191885,1.099811,,11.113
val_epoch,41,0.00191885,1.162888,0.661447,6.480
train_epoch,42,0.00187341,1.101902,,10.435
val_epoch,42,0.00187341,1.155119,0.661447,6.770
train_epoch,43,0.00182761,1.099500,,10.731
