phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.549123,,7.109
val_epoch,1,0.00299926,1.257503,0.618541,4.549
train_epoch,2,0.00299704,1.182839,,6.970
val_epoch,2,0.00299704,1.164127,0.671156,4.586
train_epoch,3,0.00299335,1.121975,,7.082
val_epoch,3,0.00299335,1.139525,0.678046,4.292
train_epoch,4,0.00298818,1.093599,,7.062
val_epoch,4,0.00298818,1.115677,0.687754,4.277
train_epoch,5,0.00298154,1.076880,,7.049
val_epoch,5,0.00298154,1.101160,0.696524,4.588
train_epoch,6,0.00297344,1.062589,,7.102
val_epoch,6,0.00297344,1.097467,0.699969,4.287
train_epoch,7,0.00296389,1.059572,,7.319
val_epoch,7,0.00296389,1.087996,0.707172,4.541
train_epoch,8,0.00295289,1.052361,,6.993
val_epoch,8,0.00295289,1.091837,0.702161,4.544
train_epoch,9,0.00294046,1.050518,,7.328
val_epoch,9,0.00294046,1.084155,0.700282,4.388
train_epoch,10,0.00292661,1.048284,,7.126
val_epoch,10,0.00292661,1.080983,0.703727,4.574
train_epoch,11,0.00291135,1.042436,,7.294
val_epoch,11,0.00291135,1.077308,0.708738,4.494
train_epoch,12,0.00289470,1.038395,,7.146
val_epoch,12,0.00289470,1.072636,0.708738,4.461
train_epoch,13,0.00287667,1.037000,,7.263
val_epoch,13,0.00287667,1.072753,0.711557,4.506
train_epoch,14,0.00285729,1.038900,,7.160
val_epoch,14,0.00285729,1.065996,0.714062,4.603
train_epoch,15,0.00283656,1.030041,,7.263
val_epoch,15,0.00283656,1.070583,0.715628,4.555
train_epoch,16,0.00281452,1.033227,,7.356
val_epoch,16,0.00281452,1.066166,0.713436,4.693
train_epoch,17,0.00279118,1.025608,,7.348
val_epoch,17,0.00279118,1.067126,0.709364,4.606
train_epoch,18,0.00276657,1.029320,,7.077
val_epoch,18,0.00276657,1.066171,0.714062,4.615
train_epoch,19,0.00274071,1.027419,,7.115
val_epoch,19,0.00274071,1.062216,0.715628,4.474
train_epoch,20,0.00271362,1.024541,,7.043
val_epoch,20,0.00271362,1.061632,0.720952,4.304
train_epoch,21,0.00268534,1.024345,,7.427
val_epoch,21,0.00268534,1.057078,0.717507,4.287
train_epoch,22,0.00265588,1.019694,,6.903
val_epoch,22,0.00265588,1.060021,0.716567,4.287
train_epoch,23,0.00262529,1.019495,,7.018
val_epoch,23,0.00262529,1.071085,0.719699,4.380
train_epoch,24,0.00259359,1.019142,,7.069
val_epoch,24,0.00259359,1.053825,0.722518,4.466
train_epoch,25,0.00256081,1.016697,,7.265
val_epoch,25,0.00256081,1.055351,0.720639,4.515
train_epoch,26,0.00252698,1.016922,,7.181
val_epoch,26,0.00252698,1.051353,0.718760,4.640
train_epoch,27,0.00249214,1.017769,,7.113
val_epoch,27,0.00249214,1.056372,0.720952,4.566
train_epoch,28,0.00245632,1.015721,,7.046
val_epoch,28,0.00245632,1.047710,0.728469,4.229
train_epoch,29,0.00241955,1.012450,,7.197
val_epoch,29,0.00241955,1.053322,0.716567,4.464
train_epoch,30,0.00238188,1.014914,,7.088
val_epoch,30,0.00238188,1.061864,0.718447,4.432
train_epoch,31,0.00234334,1.015629,,7.050
val_epoch,31,0.00234334,1.048566,0.722518,4.571
train_epoch,32,0.00230397,1.012234,,7.055
val_epoch,32,0.00230397,1.048533,0.717820,4.371
train_epoch,33,0.00226381,1.008461,,7.177
val_epoch,33,0.00226381,1.045948,0.723771,4.293
train_epoch,34,0.00222289,1.009414,,7.031
val_epoch,34,0.00222289,1.047775,0.723771,4.670
train_epoch,35,0.00218126,1.006664,,7.355
val_epoch,35,0.00218126,1.045485,0.723144,4.355
train_epoch,36,0.00213896,1.005145,,7.390
val_epoch,36,0.00213896,1.046605,0.720952,4.650
train_epoch,37,0.00209602,1.005727,,7.062
val_epoch,37,0.00209602,1.046301,0.725337,4.532
train_epoch,38,0.00205250,1.006432,,7.064
val_epoch,38,0.00205250,1.043328,0.726903,4.623
train_epoch,39,0.00200844,1.005203,,7.192
val_epoch,39,0.00200844,1.053635,0.711870,4.426
train_epoch,40,0.00196387,1.003119,,7.310
val_epoch,40,0.00196387,1.043425,0.725023,4.635
train_epoch,41,0.00191885,1.001476,,6.957
val_epoch,41,0.00191885,1.048949,0.724397,4.393
train_epoch,42,0.00187341,1.004850,,7.072
val_epoch,42,0.00187341,1.040946,0.723771,4.591
train_epoch,43,0.00182761,1.001702,,7.044
val_epoch,43,0.00182761,1.044103,0.724397,4.477
train_epoch,44,0.00178148,1.003411,,7.008
val_epoch,44,0.00178148,1.043341,0.725023,4.531
train_epoch,45,0.00173507,1.006715,,7.143
val_epoch,45,0.00173507,1.044956,0.724084,4.342
train_epoch,46,0.00168844,1.003192,,7.154
val_epoch,46,0.00168844,1.041746,0.726276,4.395
train_epoch,47,0.00164162,0.999655,,7.181
val_epoch,47,0.00164162,1.039839,0.725650,4.469
train_epoch,48,0.00159465,1.001010,,7.221
val_epoch,48,0.00159465,1.048580,0.718133,4.620
