phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.607728,,7.158
val_epoch,1,0.00299926,1.307273,0.600063,4.504
train_epoch,2,0.00299704,1.230194,,7.199
val_epoch,2,0.00299704,1.217093,0.645788,4.371
train_epoch,3,0.00299335,1.170675,,7.000
val_epoch,3,0.00299335,1.196767,0.645788,4.568
train_epoch,4,0.00298818,1.143121,,7.629
val_epoch,4,0.00298818,1.168501,0.659255,4.498
train_epoch,5,0.00298154,1.125482,,7.068
val_epoch,5,0.00298154,1.151831,0.666771,4.322
train_epoch,6,0.00297344,1.110125,,7.232
val_epoch,6,0.00297344,1.145819,0.675540,4.609
train_epoch,7,0.00296389,1.105865,,7.164
val_epoch,7,0.00296389,1.137657,0.676793,4.632
train_epoch,8,0.00295289,1.098232,,7.484
val_epoch,8,0.00295289,1.135914,0.679612,4.660
train_epoch,9,0.00294046,1.096018,,7.101
val_epoch,9,0.00294046,1.132545,0.676167,4.551
train_epoch,10,0.00292661,1.091590,,7.367
val_epoch,10,0.00292661,1.128447,0.675227,4.525
train_epoch,11,0.00291135,1.085589,,7.197
val_epoch,11,0.00291135,1.122833,0.683996,4.470
train_epoch,12,0.00289470,1.080462,,7.012
val_epoch,12,0.00289470,1.119573,0.682430,4.643
train_epoch,13,0.00287667,1.078191,,7.402
val_epoch,13,0.00287667,1.117522,0.683370,4.402
train_epoch,14,0.00285729,1.080406,,7.211
val_epoch,14,0.00285729,1.113563,0.687441,4.553
train_epoch,15,0.00283656,1.069129,,7.402
val_epoch,15,0.00283656,1.114748,0.689007,4.308
train_epoch,16,0.00281452,1.071259,,7.230
val_epoch,16,0.00281452,1.108042,0.688068,4.672
train_epoch,17,0.00279118,1.063952,,7.392
val_epoch,17,0.00279118,1.109080,0.685562,4.414
train_epoch,18,0.00276657,1.067709,,7.209
val_epoch,18,0.00276657,1.108038,0.689320,4.449
train_epoch,19,0.00274071,1.063632,,7.161
val_epoch,19,0.00274071,1.106975,0.683683,4.577
train_epoch,20,0.00271362,1.063864,,7.137
val_epoch,20,0.00271362,1.103925,0.696837,4.314
train_epoch,21,0.00268534,1.060271,,7.222
val_epoch,21,0.00268534,1.098553,0.697463,4.454
train_epoch,22,0.00265588,1.055303,,7.064
val_epoch,22,0.00265588,1.100002,0.693079,4.425
train_epoch,23,0.00262529,1.054972,,7.283
val_epoch,23,0.00262529,1.108377,0.690573,4.529
train_epoch,24,0.00259359,1.053932,,7.350
val_epoch,24,0.00259359,1.095501,0.698090,4.515
train_epoch,25,0.00256081,1.052349,,7.138
val_epoch,25,0.00256081,1.099066,0.698403,4.583
train_epoch,26,0.00252698,1.052684,,7.145
val_epoch,26,0.00252698,1.099060,0.690573,4.464
train_epoch,27,0.00249214,1.052853,,7.351
val_epoch,27,0.00249214,1.097967,0.696524,4.627
train_epoch,28,0.00245632,1.051160,,7.342
val_epoch,28,0.00245632,1.090275,0.698090,4.508
train_epoch,29,0.00241955,1.046420,,7.280
val_epoch,29,0.00241955,1.096292,0.691826,4.443
train_epoch,30,0.00238188,1.047656,,7.275
val_epoch,30,0.00238188,1.105817,0.689634,4.490
train_epoch,31,0.00234334,1.047536,,7.563
val_epoch,31,0.00234334,1.088198,0.700595,4.568
train_epoch,32,0.00230397,1.045462,,7.199
val_epoch,32,0.00230397,1.093864,0.692765,4.499
train_epoch,33,0.00226381,1.041787,,7.136
val_epoch,33,0.00226381,1.087557,0.701535,4.527
train_epoch,34,0.00222289,1.042228,,7.225
val_epoch,34,0.00222289,1.088389,0.697150,4.482
train_epoch,35,0.00218126,1.037849,,7.394
val_epoch,35,0.00218126,1.084594,0.700595,4.389
train_epoch,36,0.00213896,1.037977,,7.159
val_epoch,36,0.00213896,1.087557,0.692452,4.417
train_epoch,37,0.00209602,1.038489,,7.228
val_epoch,37,0.00209602,1.086385,0.702161,4.496
train_epoch,38,0.00205250,1.038038,,7.178
val_epoch,38,0.00205250,1.082994,0.700908,4.570
train_epoch,39,0.00200844,1.036780,,7.215
val_epoch,39,0.00200844,1.091408,0.690573,4.697
train_epoch,40,0.00196387,1.035549,,7.214
val_epoch,40,0.00196387,1.084788,0.700595,4.609
train_epoch,41,0.00191885,1.034050,,7.221
val_epoch,41,0.00191885,1.088051,0.700908,4.515
train_epoch,42,0.00187341,1.036386,,7.393
val_epoch,42,0.00187341,1.079858,0.700595,4.563
train_epoch,43,0.00182761,1.033407,,7.295
val_epoch,43,0.00182761,1.081026,0.699029,4.380
train_epoch,44,0.00178148,1.033895,,7.026
val_epoch,44,0.00178148,1.083366,0.699342,4.591
train_epoch,45,0.00173507,1.036470,,7.108
val_epoch,45,0.00173507,1.083067,0.700908,4.465
train_epoch,46,0.00168844,1.033983,,7.375
val_epoch,46,0.00168844,1.081310,0.701535,4.623
train_epoch,47,0.00164162,1.029677,,7.300
val_epoch,47,0.00164162,1.078798,0.701535,4.394
train_epoch,48,0.00159465,1.030854,,7.188
val_epoch,48,0.00159465,1.085533,0.699342,4.263
train_epoch,49,0.00154760,1.029895,,7.114
val_epoch,49,0.00154760,1.083914,0.704666,4.381
train_epoch,50,0.00150050,1.027865,,7.266
val_epoch,50,0.00150050,1.082057,0.704353,4.402
train_epoch,51,0.00145340,1.028203,,7.256
val_epoch,51,0.00145340,1.077651,0.699342,4.560
train_epoch,52,0.00140635,1.025850,,7.147
val_epoch,52,0.00140635,1.081035,0.693705,4.672
train_epoch,53,0.00135938,1.026102,,7.372
val_epoch,53,0.00135938,1.078783,0.705293,4.336
train_epoch,54,0.00131256,1.026891,,7.163
val_epoch,54,0.00131256,1.079394,0.700282,4.458
train_epoch,55,0.00126593,1.025207,,7.176
val_epoch,55,0.00126593,1.081156,0.697150,4.649
train_epoch,56,0.00121952,1.025885,,7.331
val_epoch,56,0.00121952,1.077690,0.697776,4.628
train_epoch,57,0.00117339,1.027479,,7.444
val_epoch,57,0.00117339,1.075484,0.705293,4.382
train_epoch,58,0.00112759,1.024075,,7.266
val_epoch,58,0.00112759,1.075500,0.707172,4.584
train_epoch,59,0.00108215,1.024201,,7.303
val_epoch,59,0.00108215,1.073308,0.703101,4.281
train_epoch,60,0.00103713,1.020598,,7.418
val_epoch,60,0.00103713,1.076069,0.701848,4.342
train_epoch,61,0.00099256,1.023570,,7.396
val_epoch,61,0.00099256,1.077613,0.704353,4.618
train_epoch,62,0.00094850,1.021314,,7.575
val_epoch,62,0.00094850,1.072572,0.702787,4.599
train_epoch,63,0.00090498,1.019927,,7.195
val_epoch,63,0.00090498,1.074410,0.707485,4.349
train_epoch,64,0.00086204,1.017986,,7.710
val_epoch,64,0.00086204,1.073185,0.708425,4.418
train_epoch,65,0.00081974,1.019075,,7.362
val_epoch,65,0.00081974,1.073018,0.705919,4.541
train_epoch,66,0.00077811,1.019760,,7.488
val_epoch,66,0.00077811,1.073804,0.704666,4.596
train_epoch,67,0.00073719,1.020995,,7.300
val_epoch,67,0.00073719,1.073352,0.705293,4.612
train_epoch,68,0.00069703,1.020378,,7.470
val_epoch,68,0.00069703,1.073584,0.699029,4.458
train_epoch,69,0.00065766,1.019254,,7.057
val_epoch,69,0.00065766,1.072224,0.704040,4.577
train_epoch,70,0.00061912,1.018571,,7.200
val_epoch,70,0.00061912,1.072338,0.704040,4.322
train_epoch,71,0.00058145,1.017452,,7.121
val_epoch,71,0.00058145,1.072624,0.702787,4.514
train_epoch,72,0.00054468,1.016173,,7.480
val_epoch,72,0.00054468,1.072030,0.699969,4.513
train_epoch,73,0.00050886,1.017863,,7.104
val_epoch,73,0.00050886,1.073269,0.709364,4.455
train_epoch,74,0.00047402,1.017147,,7.598
val_epoch,74,0.00047402,1.073320,0.704666,4.432
train_epoch,75,0.00044019,1.017500,,7.114
val_epoch,75,0.00044019,1.073494,0.706859,4.275
train_epoch,76,0.00040741,1.015767,,7.123
val_epoch,76,0.00040741,1.071487,0.703727,4.432
train_epoch,77,0.00037571,1.014461,,7.124
val_epoch,77,0.00037571,1.072169,0.707485,4.560
train_epoch,78,0.00034512,1.015883,,7.155
val_epoch,78,0.00034512,1.071079,0.703414,4.549
train_epoch,79,0.00031566,1.015922,,7.197
val_epoch,79,0.00031566,1.071832,0.705606,4.521
train_epoch,80,0.00028738,1.014765,,6.992
val_epoch,80,0.00028738,1.071397,0.702474,4.532
train_epoch,81,0.00026029,1.015282,,7.343
val_epoch,81,0.00026029,1.070803,0.704040,4.508
train_epoch,82,0.00023443,1.016285,,7.437
val_epoch,82,0.00023443,1.069999,0.705606,4.549
train_epoch,83,0.00020982,1.014013,,7.253
val_epoch,83,0.00020982,1.070334,0.704980,4.430
train_epoch,84,0.00018648,1.013554,,7.493
val_epoch,84,0.00018648,1.069923,0.704353,4.281
train_epoch,85,0.00016444,1.015471,,7.033
val_epoch,85,0.00016444,1.070657,0.705293,4.646
train_epoch,86,0.00014371,1.015789,,7.281
val_epoch,86,0.00014371,1.070274,0.704980,4.530
train_epoch,87,0.00012433,1.013647,,7.645
val_epoch,87,0.00012433,1.069766,0.707172,4.417
train_epoch,88,0.00010630,1.013965,,6.987
val_epoch,88,0.00010630,1.069936,0.704666,4.493
train_epoch,89,0.00008965,1.012510,,7.318
val_epoch,89,0.00008965,1.069962,0.707485,4.659
train_epoch,90,0.00007439,1.012637,,7.298
val_epoch,90,0.00007439,1.069767,0.705293,4.450
train_epoch,91,0.00006054,1.013273,,7.147
val_epoch,91,0.00006054,1.069964,0.705606,4.608
train_epoch,92,0.00004811,1.012958,,7.275
val_epoch,92,0.00004811,1.069714,0.704666,4.441
train_epoch,93,0.00003711,1.011804,,7.343
val_epoch,93,0.00003711,1.069663,0.705606,4.396
