phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.584474,,7.367
val_epoch,1,0.00299926,1.291387,0.605700,4.707
train_epoch,2,0.00299704,1.214455,,7.394
val_epoch,2,0.00299704,1.196574,0.657376,4.624
train_epoch,3,0.00299335,1.151130,,7.099
val_epoch,3,0.00299335,1.170433,0.660821,4.479
train_epoch,4,0.00298818,1.121207,,7.178
val_epoch,4,0.00298818,1.146626,0.676793,4.680
train_epoch,5,0.00298154,1.103888,,7.318
val_epoch,5,0.00298154,1.132298,0.677419,4.461
train_epoch,6,0.00297344,1.089120,,7.152
val_epoch,6,0.00297344,1.123930,0.686815,4.356
train_epoch,7,0.00296389,1.084433,,7.190
val_epoch,7,0.00296389,1.116025,0.689007,4.457
train_epoch,8,0.00295289,1.077208,,7.264
val_epoch,8,0.00295289,1.121736,0.690886,4.491
train_epoch,9,0.00294046,1.074978,,7.437
val_epoch,9,0.00294046,1.113213,0.694645,4.465
train_epoch,10,0.00292661,1.072147,,7.401
val_epoch,10,0.00292661,1.111728,0.687754,4.504
train_epoch,11,0.00291135,1.066454,,7.267
val_epoch,11,0.00291135,1.104739,0.696524,4.455
train_epoch,12,0.00289470,1.061322,,7.184
val_epoch,12,0.00289470,1.102607,0.693392,4.487
train_epoch,13,0.00287667,1.061222,,7.234
val_epoch,13,0.00287667,1.100045,0.700908,4.199
train_epoch,14,0.00285729,1.062200,,7.216
val_epoch,14,0.00285729,1.093844,0.701535,4.500
train_epoch,15,0.00283656,1.053488,,7.102
val_epoch,15,0.00283656,1.097618,0.699029,4.647
train_epoch,16,0.00281452,1.056653,,7.286
val_epoch,16,0.00281452,1.096791,0.694958,4.516
train_epoch,17,0.00279118,1.049093,,7.207
val_epoch,17,0.00279118,1.096568,0.698716,4.432
train_epoch,18,0.00276657,1.052485,,7.328
val_epoch,18,0.00276657,1.094087,0.702787,4.480
train_epoch,19,0.00274071,1.050532,,7.438
val_epoch,19,0.00274071,1.091318,0.703727,4.453
train_epoch,20,0.00271362,1.047225,,7.061
val_epoch,20,0.00271362,1.090060,0.709051,4.548
train_epoch,21,0.00268534,1.046767,,7.112
val_epoch,21,0.00268534,1.085856,0.708425,4.355
train_epoch,22,0.00265588,1.042130,,7.596
val_epoch,22,0.00265588,1.086576,0.703727,4.384
train_epoch,23,0.00262529,1.041440,,7.371
val_epoch,23,0.00262529,1.095492,0.701535,4.576
train_epoch,24,0.00259359,1.041887,,7.307
val_epoch,24,0.00259359,1.082435,0.708111,4.598
train_epoch,25,0.00256081,1.039844,,7.260
val_epoch,25,0.00256081,1.085508,0.706859,4.291
train_epoch,26,0.00252698,1.040143,,7.206
val_epoch,26,0.00252698,1.080501,0.705919,4.289
train_epoch,27,0.00249214,1.040762,,7.483
val_epoch,27,0.00249214,1.084494,0.709991,4.284
train_epoch,28,0.00245632,1.038652,,7.070
val_epoch,28,0.00245632,1.075689,0.709991,4.555
train_epoch,29,0.00241955,1.034945,,7.075
val_epoch,29,0.00241955,1.080306,0.702787,4.523
train_epoch,30,0.00238188,1.036936,,7.404
val_epoch,30,0.00238188,1.093510,0.700282,4.399
train_epoch,31,0.00234334,1.036599,,7.043
val_epoch,31,0.00234334,1.076559,0.711870,4.632
train_epoch,32,0.00230397,1.034635,,7.581
val_epoch,32,0.00230397,1.076611,0.706859,4.623
train_epoch,33,0.00226381,1.030766,,7.039
val_epoch,33,0.00226381,1.076134,0.707172,4.571
train_epoch,34,0.00222289,1.032020,,7.080
val_epoch,34,0.00222289,1.075237,0.711870,4.562
train_epoch,35,0.00218126,1.028577,,7.287
val_epoch,35,0.00218126,1.072881,0.708425,4.429
train_epoch,36,0.00213896,1.027987,,7.053
val_epoch,36,0.00213896,1.075450,0.706546,4.549
train_epoch,37,0.00209602,1.028597,,7.309
val_epoch,37,0.00209602,1.074173,0.715941,4.517
train_epoch,38,0.00205250,1.028865,,7.438
val_epoch,38,0.00205250,1.071682,0.709364,4.356
train_epoch,39,0.00200844,1.027269,,7.198
val_epoch,39,0.00200844,1.084139,0.698403,4.341
train_epoch,40,0.00196387,1.025804,,7.166
val_epoch,40,0.00196387,1.074949,0.710304,4.403
train_epoch,41,0.00191885,1.023674,,7.161
val_epoch,41,0.00191885,1.078633,0.708111,4.565
train_epoch,42,0.00187341,1.027459,,7.316
val_epoch,42,0.00187341,1.068734,0.710930,4.380
train_epoch,43,0.00182761,1.025022,,7.062
val_epoch,43,0.00182761,1.070907,0.713436,4.598
train_epoch,44,0.00178148,1.025456,,7.365
val_epoch,44,0.00178148,1.073364,0.710930,4.568
train_epoch,45,0.00173507,1.029339,,7.281
val_epoch,45,0.00173507,1.074280,0.710617,4.359
train_epoch,46,0.00168844,1.025119,,7.225
val_epoch,46,0.00168844,1.070792,0.709677,4.496
train_epoch,47,0.00164162,1.021799,,7.054
val_epoch,47,0.00164162,1.068419,0.710304,4.232
train_epoch,48,0.00159465,1.022885,,7.120
val_epoch,48,0.00159465,1.076075,0.715002,4.400
