phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.587889,,7.674
val_epoch,1,0.00299926,1.265045,0.619480,4.644
train_epoch,2,0.00299704,1.192256,,7.368
val_epoch,2,0.00299704,1.173440,0.665518,4.522
train_epoch,3,0.00299335,1.132172,,7.129
val_epoch,3,0.00299335,1.152542,0.672095,4.598
train_epoch,4,0.00298818,1.102281,,7.372
val_epoch,4,0.00298818,1.125484,0.684623,4.537
train_epoch,5,0.00298154,1.086082,,7.149
val_epoch,5,0.00298154,1.112673,0.696210,4.417
train_epoch,6,0.00297344,1.071426,,7.249
val_epoch,6,0.00297344,1.104017,0.696837,4.502
train_epoch,7,0.00296389,1.067863,,7.256
val_epoch,7,0.00296389,1.098844,0.697776,4.638
train_epoch,8,0.00295289,1.061273,,7.323
val_epoch,8,0.00295289,1.099999,0.698090,4.659
train_epoch,9,0.00294046,1.059268,,7.252
val_epoch,9,0.00294046,1.098403,0.698090,4.280
train_epoch,10,0.00292661,1.057273,,7.299
val_epoch,10,0.00292661,1.094368,0.693705,4.437
train_epoch,11,0.00291135,1.051122,,7.067
val_epoch,11,0.00291135,1.087782,0.704353,4.515
train_epoch,12,0.00289470,1.046232,,7.311
val_epoch,12,0.00289470,1.083270,0.708738,4.335
train_epoch,13,0.00287667,1.045925,,7.256
val_epoch,13,0.00287667,1.083689,0.707485,4.593
train_epoch,14,0.00285729,1.047227,,7.217
val_epoch,14,0.00285729,1.076269,0.712183,4.655
train_epoch,15,0.00283656,1.038659,,7.337
val_epoch,15,0.00283656,1.081792,0.707798,4.532
train_epoch,16,0.00281452,1.040768,,7.493
val_epoch,16,0.00281452,1.076767,0.708111,4.598
train_epoch,17,0.00279118,1.032989,,7.134
val_epoch,17,0.00279118,1.076197,0.713122,4.653
train_epoch,18,0.00276657,1.036632,,7.397
val_epoch,18,0.00276657,1.077100,0.711243,4.340
train_epoch,19,0.00274071,1.033567,,7.116
val_epoch,19,0.00274071,1.073654,0.713436,4.515
train_epoch,20,0.00271362,1.031463,,7.126
val_epoch,20,0.00271362,1.072067,0.715315,4.516
train_epoch,21,0.00268534,1.031094,,7.268
val_epoch,21,0.00268534,1.067087,0.717507,4.342
train_epoch,22,0.00265588,1.026716,,7.135
val_epoch,22,0.00265588,1.069625,0.714375,4.389
