phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.603030,,11.125
val_epoch,1,0.00299926,1.310791,0.598497,7.106
train_epoch,2,0.00299704,1.237026,,10.852
val_epoch,2,0.00299704,1.218375,0.644848,7.048
train_epoch,3,0.00299335,1.177254,,11.323
val_epoch,3,0.00299335,1.195384,0.649233,6.696
train_epoch,4,0.00298818,1.147070,,11.133
val_epoch,4,0.00298818,1.166577,0.659881,6.545
train_epoch,5,0.00298154,1.129831,,10.618
val_epoch,5,0.00298154,1.152907,0.675853,6.801
train_epoch,6,0.00297344,1.115024,,11.086
val_epoch,6,0.00297344,1.145661,0.676793,7.025
train_epoch,7,0.00296389,1.110193,,10.918
val_epoch,7,0.00296389,1.140571,0.676480,6.498
train_epoch,8,0.00295289,1.103772,,10.880
val_epoch,8,0.00295289,1.135568,0.685249,6.403
train_epoch,9,0.00294046,1.100665,,10.656
val_epoch,9,0.00294046,1.137878,0.670842,6.754
train_epoch,10,0.00292661,1.096921,,10.733
val_epoch,10,0.00292661,1.135991,0.673974,6.453
train_epoch,11,0.00291135,1.092477,,11.220
val_epoch,11,0.00291135,1.125299,0.681804,7.163
train_epoch,12,0.00289470,1.086160,,11.935
val_epoch,12,0.00289470,1.121819,0.686815,7.349
train_epoch,13,0.00287667,1.085819,,11.957
val_epoch,13,0.00287667,1.122439,0.686502,7.234
train_epoch,14,0.00285729,1.086315,,11.337
val_epoch,14,0.00285729,1.113679,0.694018,6.241
train_epoch,15,0.00283656,1.078929,,10.635
val_epoch,15,0.00283656,1.118727,0.689007,6.727
train_epoch,16,0.00281452,1.080279,,10.890
val_epoch,16,0.00281452,1.112707,0.692765,6.645
train_epoch,17,0.00279118,1.073075,,11.052
val_epoch,17,0.00279118,1.115148,0.692452,6.545
train_epoch,18,0.00276657,1.076484,,11.507
val_epoch,18,0.00276657,1.112938,0.689947,6.300
train_epoch,19,0.00274071,1.071800,,10.470
val_epoch,19,0.00274071,1.111021,0.686189,7.470
