phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,2.313555,,11.309
val_epoch,1,0.00299926,2.263280,0.150016,7.122
train_epoch,2,0.00299704,2.248232,,11.136
val_epoch,2,0.00299704,2.242438,0.150016,6.642
train_epoch,3,0.00299335,2.260595,,11.435
val_epoch,3,0.00299335,2.282105,0.147510,7.334
train_epoch,4,0.00298818,2.255361,,12.786
val_epoch,4,0.00298818,2.278643,0.147510,7.519
train_epoch,5,0.00298154,2.264813,,11.986
val_epoch,5,0.00298154,2.242445,0.163169,6.591
train_epoch,6,0.00297344,2.241532,,11.021
val_epoch,6,0.00297344,2.241933,0.176950,6.938
train_epoch,7,0.00296389,2.245573,,10.459
val_epoch,7,0.00296389,2.273191,0.150016,6.776
train_epoch,8,0.00295289,2.247632,,10.629
val_epoch,8,0.00295289,2.243096,0.147510,6.312
train_epoch,9,0.00294046,2.235592,,10.379
val_epoch,9,0.00294046,2.242797,0.104604,6.459
train_epoch,10,0.00292661,2.236415,,11.125
val_epoch,10,0.00292661,2.235851,0.150016,6.877
train_epoch,11,0.00291135,2.226163,,10.563
val_epoch,11,0.00291135,2.252952,0.104604,6.477
train_epoch,12,0.00289470,2.230967,,10.775
val_epoch,12,0.00289470,2.260698,0.106483,6.863
train_epoch,13,0.00287667,2.226899,,10.482
val_epoch,13,0.00287667,2.265747,0.143752,6.793
train_epoch,14,0.00285729,2.237892,,11.311
val_epoch,14,0.00285729,2.221282,0.218603,6.839
train_epoch,15,0.00283656,2.212068,,11.168
val_epoch,15,0.00283656,2.214707,0.191043,6.826
train_epoch,16,0.00281452,2.219160,,11.247
val_epoch,16,0.00281452,2.220397,0.210460,6.964
train_epoch,17,0.00279118,2.224405,,10.954
val_epoch,17,0.00279118,2.217825,0.214219,6.939
train_epoch,18,0.00276657,2.207232,,10.521
val_epoch,18,0.00276657,2.235379,0.167867,6.551
train_epoch,19,0.00274071,2.199652,,10.534
val_epoch,19,0.00274071,2.213697,0.155966,6.456
train_epoch,20,0.00271362,2.198505,,10.847
val_epoch,20,0.00271362,2.225324,0.134356,6.734
train_epoch,21,0.00268534,2.206931,,10.804
val_epoch,21,0.00268534,2.196762,0.207015,6.368
train_epoch,22,0.00265588,2.198620,,10.729
val_epoch,22,0.00265588,2.208724,0.170999,6.461
train_epoch,23,0.00262529,2.216979,,10.758
