phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.320013,,7.096
val_epoch,1,0.00299926,1.043315,0.706232,4.568
train_epoch,2,0.00299704,0.980953,,7.399
val_epoch,2,0.00299704,0.987510,0.729721,4.789
train_epoch,3,0.00299335,0.945749,,7.146
val_epoch,3,0.00299335,0.967437,0.738177,4.637
train_epoch,4,0.00298818,0.926633,,7.450
val_epoch,4,0.00298818,0.955824,0.746633,4.591
train_epoch,5,0.00298154,0.918579,,7.135
val_epoch,5,0.00298154,0.944899,0.748826,4.511
train_epoch,6,0.00297344,0.909220,,7.191
val_epoch,6,0.00297344,0.941817,0.752584,4.584
train_epoch,7,0.00296389,0.910088,,7.268
val_epoch,7,0.00296389,0.936517,0.756029,4.448
train_epoch,8,0.00295289,0.901370,,7.239
val_epoch,8,0.00295289,0.931266,0.755716,4.785
train_epoch,9,0.00294046,0.898311,,7.363
val_epoch,9,0.00294046,0.938387,0.751331,4.605
train_epoch,10,0.00292661,0.898987,,7.168
val_epoch,10,0.00292661,0.940443,0.751018,4.567
train_epoch,11,0.00291135,0.893308,,7.498
val_epoch,11,0.00291135,0.925936,0.754150,4.451
train_epoch,12,0.00289470,0.890500,,7.247
val_epoch,12,0.00289470,0.935043,0.747573,4.591
train_epoch,13,0.00287667,0.885700,,7.184
val_epoch,13,0.00287667,0.925739,0.761979,4.576
train_epoch,14,0.00285729,0.883625,,7.385
val_epoch,14,0.00285729,0.925758,0.757595,4.792
train_epoch,15,0.00283656,0.881437,,7.319
val_epoch,15,0.00283656,0.921933,0.761040,4.524
train_epoch,16,0.00281452,0.881417,,7.167
val_epoch,16,0.00281452,0.920428,0.765111,4.781
train_epoch,17,0.00279118,0.874100,,7.297
val_epoch,17,0.00279118,0.916393,0.758847,4.603
train_epoch,18,0.00276657,0.878975,,7.142
val_epoch,18,0.00276657,0.917711,0.756029,4.693
train_epoch,19,0.00274071,0.873053,,7.075
val_epoch,19,0.00274071,0.919244,0.759161,4.602
train_epoch,20,0.00271362,0.872671,,7.151
val_epoch,20,0.00271362,0.919153,0.763232,4.639
train_epoch,21,0.00268534,0.873027,,7.080
val_epoch,21,0.00268534,0.914593,0.766990,4.693
train_epoch,22,0.00265588,0.870938,,7.447
val_epoch,22,0.00265588,0.914694,0.768869,4.655
train_epoch,23,0.00262529,0.869940,,7.331
val_epoch,23,0.00262529,0.926447,0.764172,4.800
train_epoch,24,0.00259359,0.870059,,7.234
val_epoch,24,0.00259359,0.913378,0.761666,4.565
train_epoch,25,0.00256081,0.866559,,7.598
val_epoch,25,0.00256081,0.911103,0.764485,4.414
train_epoch,26,0.00252698,0.865891,,7.318
val_epoch,26,0.00252698,0.913481,0.761353,4.653
train_epoch,27,0.00249214,0.864985,,7.436
val_epoch,27,0.00249214,0.912667,0.764485,4.466
train_epoch,28,0.00245632,0.862137,,7.475
val_epoch,28,0.00245632,0.910334,0.764172,4.792
train_epoch,29,0.00241955,0.860638,,7.367
val_epoch,29,0.00241955,0.914886,0.762606,4.601
train_epoch,30,0.00238188,0.861841,,7.262
val_epoch,30,0.00238188,0.916019,0.764798,4.807
train_epoch,31,0.00234334,0.861608,,7.251
val_epoch,31,0.00234334,0.905636,0.767930,4.488
train_epoch,32,0.00230397,0.860540,,7.462
val_epoch,32,0.00230397,0.918223,0.756655,4.763
train_epoch,33,0.00226381,0.858373,,7.282
val_epoch,33,0.00226381,0.905167,0.770435,4.641
train_epoch,34,0.00222289,0.856115,,7.504
val_epoch,34,0.00222289,0.910413,0.763858,4.666
train_epoch,35,0.00218126,0.855772,,7.244
val_epoch,35,0.00218126,0.907054,0.768243,4.550
train_epoch,36,0.00213896,0.854085,,7.318
val_epoch,36,0.00213896,0.910598,0.759474,4.438
train_epoch,37,0.00209602,0.855523,,7.437
val_epoch,37,0.00209602,0.904463,0.769496,4.759
train_epoch,38,0.00205250,0.854674,,7.394
val_epoch,38,0.00205250,0.906472,0.768243,4.348
train_epoch,39,0.00200844,0.852726,,7.107
val_epoch,39,0.00200844,0.907374,0.763858,4.730
train_epoch,40,0.00196387,0.852935,,7.241
val_epoch,40,0.00196387,0.901906,0.771375,4.561
train_epoch,41,0.00191885,0.850964,,7.228
val_epoch,41,0.00191885,0.903779,0.771062,4.505
train_epoch,42,0.00187341,0.852326,,7.137
val_epoch,42,0.00187341,0.903368,0.768869,4.551
train_epoch,43,0.00182761,0.849216,,7.265
val_epoch,43,0.00182761,0.905773,0.766990,4.630
train_epoch,44,0.00178148,0.851138,,7.285
val_epoch,44,0.00178148,0.902266,0.771375,4.734
train_epoch,45,0.00173507,0.851281,,7.445
val_epoch,45,0.00173507,0.900382,0.770122,4.692
train_epoch,46,0.00168844,0.849098,,7.394
val_epoch,46,0.00168844,0.900409,0.771688,4.673
train_epoch,47,0.00164162,0.845990,,7.295
val_epoch,47,0.00164162,0.899162,0.771062,4.463
train_epoch,48,0.00159465,0.846021,,7.451
val_epoch,48,0.00159465,0.904918,0.767303,4.707
train_epoch,49,0.00154760,0.846472,,7.281
val_epoch,49,0.00154760,0.905771,0.766677,4.749
train_epoch,50,0.00150050,0.844440,,7.043
val_epoch,50,0.00150050,0.902395,0.766364,4.826
train_epoch,51,0.00145340,0.845078,,7.108
val_epoch,51,0.00145340,0.899410,0.772001,4.805
train_epoch,52,0.00140635,0.843106,,7.302
val_epoch,52,0.00140635,0.900346,0.772314,4.570
train_epoch,53,0.00135938,0.841010,,7.370
val_epoch,53,0.00135938,0.902943,0.766051,4.748
train_epoch,54,0.00131256,0.845566,,7.062
val_epoch,54,0.00131256,0.899053,0.772941,4.573
train_epoch,55,0.00126593,0.841621,,7.503
val_epoch,55,0.00126593,0.900127,0.768869,4.717
train_epoch,56,0.00121952,0.843348,,7.069
val_epoch,56,0.00121952,0.898756,0.773880,4.650
train_epoch,57,0.00117339,0.843957,,7.152
val_epoch,57,0.00117339,0.897007,0.773880,4.702
train_epoch,58,0.00112759,0.839423,,7.289
val_epoch,58,0.00112759,0.898569,0.773880,4.580
train_epoch,59,0.00108215,0.841063,,7.388
val_epoch,59,0.00108215,0.897241,0.774507,4.795
train_epoch,60,0.00103713,0.839649,,7.224
val_epoch,60,0.00103713,0.897800,0.768556,4.771
train_epoch,61,0.00099256,0.840431,,7.432
val_epoch,61,0.00099256,0.900901,0.765424,4.567
train_epoch,62,0.00094850,0.839254,,7.535
val_epoch,62,0.00094850,0.896737,0.769496,4.812
train_epoch,63,0.00090498,0.837882,,7.013
val_epoch,63,0.00090498,0.897332,0.770435,4.487
train_epoch,64,0.00086204,0.835432,,7.456
val_epoch,64,0.00086204,0.896316,0.773254,4.696
train_epoch,65,0.00081974,0.837529,,7.400
val_epoch,65,0.00081974,0.897134,0.772314,4.453
train_epoch,66,0.00077811,0.836629,,7.177
val_epoch,66,0.00077811,0.896263,0.775759,4.610
train_epoch,67,0.00073719,0.837196,,7.174
val_epoch,67,0.00073719,0.895828,0.773567,4.757
train_epoch,68,0.00069703,0.837039,,7.517
val_epoch,68,0.00069703,0.896174,0.773880,4.781
train_epoch,69,0.00065766,0.835638,,7.092
val_epoch,69,0.00065766,0.895475,0.773567,4.582
train_epoch,70,0.00061912,0.835986,,7.426
val_epoch,70,0.00061912,0.895841,0.772628,4.758
train_epoch,71,0.00058145,0.833978,,7.250
val_epoch,71,0.00058145,0.896073,0.770749,4.531
train_epoch,72,0.00054468,0.834316,,7.227
val_epoch,72,0.00054468,0.895177,0.775133,4.742
train_epoch,73,0.00050886,0.835019,,7.228
val_epoch,73,0.00050886,0.897187,0.773567,4.625
train_epoch,74,0.00047402,0.834950,,7.325
val_epoch,74,0.00047402,0.895105,0.775133,4.619
train_epoch,75,0.00044019,0.834424,,7.510
val_epoch,75,0.00044019,0.895745,0.773254,4.575
train_epoch,76,0.00040741,0.833474,,7.215
val_epoch,76,0.00040741,0.896114,0.775446,4.587
train_epoch,77,0.00037571,0.832382,,7.286
val_epoch,77,0.00037571,0.896599,0.776699,4.440
train_epoch,78,0.00034512,0.833058,,7.404
