phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.163962,,11.431
val_epoch,1,0.00299926,0.908931,0.768869,6.411
train_epoch,2,0.00299704,0.870342,,11.128
val_epoch,2,0.00299704,0.880808,0.779205,6.629
train_epoch,3,0.00299335,0.850756,,10.430
val_epoch,3,0.00299335,0.869143,0.787034,6.420
train_epoch,4,0.00298818,0.839793,,10.975
val_epoch,4,0.00298818,0.866325,0.786408,6.248
train_epoch,5,0.00298154,0.836137,,10.208
val_epoch,5,0.00298154,0.861496,0.787974,6.387
train_epoch,6,0.00297344,0.828118,,10.798
val_epoch,6,0.00297344,0.853676,0.791732,6.091
train_epoch,7,0.00296389,0.829151,,10.571
val_epoch,7,0.00296389,0.857463,0.792358,6.020
train_epoch,8,0.00295289,0.824300,,10.234
val_epoch,8,0.00295289,0.852662,0.787661,6.766
train_epoch,9,0.00294046,0.822305,,11.109
val_epoch,9,0.00294046,0.858909,0.790792,6.444
train_epoch,10,0.00292661,0.824678,,11.305
val_epoch,10,0.00292661,0.857839,0.791106,6.908
train_epoch,11,0.00291135,0.816247,,11.462
val_epoch,11,0.00291135,0.852801,0.792671,6.320
train_epoch,12,0.00289470,0.817187,,10.091
val_epoch,12,0.00289470,0.855140,0.787347,6.435
train_epoch,13,0.00287667,0.813041,,10.898
val_epoch,13,0.00287667,0.849921,0.793298,7.003
train_epoch,14,0.00285729,0.812998,,10.787
val_epoch,14,0.00285729,0.850005,0.794237,6.248
train_epoch,15,0.00283656,0.811854,,10.899
val_epoch,15,0.00283656,0.846737,0.792985,6.223
train_epoch,16,0.00281452,0.810965,,10.889
val_epoch,16,0.00281452,0.844809,0.792985,6.732
train_epoch,17,0.00279118,0.805306,,10.671
val_epoch,17,0.00279118,0.842300,0.794551,6.951
train_epoch,18,0.00276657,0.810662,,10.755
val_epoch,18,0.00276657,0.844054,0.795490,7.374
train_epoch,19,0.00274071,0.804308,,11.685
val_epoch,19,0.00274071,0.846593,0.792358,7.610
train_epoch,20,0.00271362,0.803470,,11.789
val_epoch,20,0.00271362,0.844448,0.790792,7.185
train_epoch,21,0.00268534,0.802604,,11.529
val_epoch,21,0.00268534,0.836868,0.793924,6.695
train_epoch,22,0.00265588,0.803249,,10.699
val_epoch,22,0.00265588,0.841757,0.791732,6.475
train_epoch,23,0.00262529,0.803250,,10.884
val_epoch,23,0.00262529,0.849423,0.792358,7.000
train_epoch,24,0.00259359,0.803352,,10.769
val_epoch,24,0.00259359,0.838873,0.798309,6.227
train_epoch,25,0.00256081,0.798947,,11.165
val_epoch,25,0.00256081,0.837299,0.797682,6.131
train_epoch,26,0.00252698,0.797060,,10.398
val_epoch,26,0.00252698,0.836221,0.793611,6.018
train_epoch,27,0.00249214,0.798369,,10.289
val_epoch,27,0.00249214,0.843005,0.792358,6.313
train_epoch,28,0.00245632,0.797391,,10.602
val_epoch,28,0.00245632,0.837576,0.792358,6.560
train_epoch,29,0.00241955,0.794361,,10.715
val_epoch,29,0.00241955,0.839781,0.796430,6.277
train_epoch,30,0.00238188,0.795995,,10.670
val_epoch,30,0.00238188,0.845693,0.794864,6.296
train_epoch,31,0.00234334,0.795897,,10.269
val_epoch,31,0.00234334,0.835225,0.795177,6.116
train_epoch,32,0.00230397,0.793992,,10.888
val_epoch,32,0.00230397,0.838745,0.792671,6.690
train_epoch,33,0.00226381,0.791728,,10.587
val_epoch,33,0.00226381,0.834951,0.794237,6.560
train_epoch,34,0.00222289,0.791099,,10.332
val_epoch,34,0.00222289,0.834693,0.798622,6.242
train_epoch,35,0.00218126,0.790786,,10.701
val_epoch,35,0.00218126,0.836103,0.796430,6.705
train_epoch,36,0.00213896,0.789199,,10.503
val_epoch,36,0.00213896,0.841060,0.789853,6.473
train_epoch,37,0.00209602,0.789447,,10.774
val_epoch,37,0.00209602,0.831533,0.799875,6.373
train_epoch,38,0.00205250,0.788665,,10.276
val_epoch,38,0.00205250,0.834583,0.797056,6.115
train_epoch,39,0.00200844,0.787972,,10.711
val_epoch,39,0.00200844,0.830853,0.796430,6.342
train_epoch,40,0.00196387,0.786457,,10.697
val_epoch,40,0.00196387,0.830413,0.797369,6.761
train_epoch,41,0.00191885,0.784735,,10.735
val_epoch,41,0.00191885,0.834811,0.797682,6.865
train_epoch,42,0.00187341,0.788198,,10.406
val_epoch,42,0.00187341,0.835208,0.797056,6.355
train_epoch,43,0.00182761,0.784811,,10.549
val_epoch,43,0.00182761,0.832834,0.798622,6.080
train_epoch,44,0.00178148,0.786918,,10.644
val_epoch,44,0.00178148,0.834497,0.798622,6.702
train_epoch,45,0.00173507,0.785112,,10.592
val_epoch,45,0.00173507,0.829723,0.797369,6.749
train_epoch,46,0.00168844,0.784580,,10.410
val_epoch,46,0.00168844,0.830272,0.796430,6.391
train_epoch,47,0.00164162,0.782109,,10.587
val_epoch,47,0.00164162,0.831935,0.795803,6.330
train_epoch,48,0.00159465,0.782265,,10.111
val_epoch,48,0.00159465,0.833897,0.797369,6.735
train_epoch,49,0.00154760,0.783200,,10.081
val_epoch,49,0.00154760,0.832904,0.795803,6.215
train_epoch,50,0.00150050,0.781412,,10.331
val_epoch,50,0.00150050,0.833651,0.800188,6.432
train_epoch,51,0.00145340,0.782502,,10.894
val_epoch,51,0.00145340,0.829610,0.798622,6.814
train_epoch,52,0.00140635,0.780530,,10.596
val_epoch,52,0.00140635,0.828856,0.800814,6.142
train_epoch,53,0.00135938,0.778499,,11.200
val_epoch,53,0.00135938,0.830066,0.794864,6.633
train_epoch,54,0.00131256,0.780496,,11.482
val_epoch,54,0.00131256,0.828204,0.798935,6.595
train_epoch,55,0.00126593,0.778106,,10.788
val_epoch,55,0.00126593,0.830065,0.798935,6.955
train_epoch,56,0.00121952,0.780196,,10.400
val_epoch,56,0.00121952,0.829228,0.797056,6.607
train_epoch,57,0.00117339,0.780873,,10.482
val_epoch,57,0.00117339,0.827227,0.797056,6.887
train_epoch,58,0.00112759,0.777408,,10.438
val_epoch,58,0.00112759,0.827364,0.800814,6.159
train_epoch,59,0.00108215,0.777836,,10.564
val_epoch,59,0.00108215,0.827623,0.800188,6.858
train_epoch,60,0.00103713,0.776547,,11.383
val_epoch,60,0.00103713,0.829158,0.796743,6.815
train_epoch,61,0.00099256,0.777626,,10.597
val_epoch,61,0.00099256,0.830050,0.797369,6.356
train_epoch,62,0.00094850,0.775808,,11.216
val_epoch,62,0.00094850,0.827203,0.800188,6.267
train_epoch,63,0.00090498,0.775614,,10.523
val_epoch,63,0.00090498,0.827308,0.799875,6.899
train_epoch,64,0.00086204,0.773951,,10.852
val_epoch,64,0.00086204,0.827006,0.800814,6.964
train_epoch,65,0.00081974,0.774379,,10.506
val_epoch,65,0.00081974,0.826372,0.799248,7.051
train_epoch,66,0.00077811,0.774214,,10.880
val_epoch,66,0.00077811,0.825522,0.798622,6.441
train_epoch,67,0.00073719,0.774595,,10.535
val_epoch,67,0.00073719,0.826401,0.798935,6.438
train_epoch,68,0.00069703,0.775104,,10.443
val_epoch,68,0.00069703,0.826825,0.799248,6.129
train_epoch,69,0.00065766,0.773093,,10.334
val_epoch,69,0.00065766,0.825705,0.801441,6.474
train_epoch,70,0.00061912,0.773136,,10.830
val_epoch,70,0.00061912,0.826442,0.800501,6.702
train_epoch,71,0.00058145,0.771927,,10.337
val_epoch,71,0.00058145,0.826498,0.799248,6.548
train_epoch,72,0.00054468,0.771787,,11.078
val_epoch,72,0.00054468,0.826132,0.800814,6.543
train_epoch,73,0.00050886,0.773004,,11.053
val_epoch,73,0.00050886,0.826498,0.799248,6.525
train_epoch,74,0.00047402,0.772740,,10.417
val_epoch,74,0.00047402,0.825949,0.801441,6.607
train_epoch,75,0.00044019,0.772671,,10.249
val_epoch,75,0.00044019,0.825915,0.797682,6.434
train_epoch,76,0.00040741,0.771091,,10.559
val_epoch,76,0.00040741,0.826938,0.802693,6.471
